Pogostost spletnega nakupovanja pri posameznikih, po starostnih razredih in spolu, Slovenija, letno;;;;;;;
;;;;;;;
LETO;POGOSTOST E-NAKUPOVANJA;Moški 16–24;Moški 25–54;Moški 55–74;Ženske 16–24;Ženske 25–54;Ženske 55–74
2009;Posamezniki – SKUPAJ;113836;463246;211121;109054;449374;232047
2010;Posamezniki – SKUPAJ;113868;476202;210638;104159;443416;228808
2011;Posamezniki – SKUPAJ;102834;456800;214761;94898;438284;233608
2012;Posamezniki – SKUPAJ;104784;467744;222855;98561;438310;238161
2013;Posamezniki – SKUPAJ;101157;465386;227016;95422;435653;241858
2014;Posamezniki – SKUPAJ;97169;463331;231072;92188;433114;244877
2015;Posamezniki – SKUPAJ;94270;458530;234681;89421;429267;247906
2016;Posamezniki – SKUPAJ;92955;459156;237122;86241;420063;252192
2017;Posamezniki – SKUPAJ;87588;449582;242158;80239;419558;255076
2018;Posamezniki – SKUPAJ;90414;445394;245724;84430;414292;257921
